iy   id  it imin qn   qh   qe   qs   qf   U     RH    Tair  pres   rain kdown  snow ldown fcld wuh  xsmd lai  kdiff kdir wdir
2013 3   12 0    -999 -999 -999 -999 -999 4.15  82.48 10.88 102.59 0    78.69  -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 3   13 0    -999 -999 -999 -999 -999 4.08  81.34 11.29 102.61 0    128.16 -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 3   14 0    -999 -999 -999 -999 -999 4.78  79.54 11.8  102.62 0    165.36 -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 3   15 0    -999 -999 -999 -999 -999 4.21  80.23 11.7  102.66 0    51.41  -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 3   16 0    -999 -999 -999 -999 -999 3.84  79.61 11.78 102.72 0    15.23  -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 3   17 0    -999 -999 -999 -999 -999 2.93  79.6  11.73 102.75 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 3   18 0    -999 -999 -999 -999 -999 2.71  80.6  11.46 102.81 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 3   19 0    -999 -999 -999 -999 -999 4.14  80.82 11.31 102.84 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 3   20 0    -999 -999 -999 -999 -999 3.95  80.58 11.34 102.86 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 3   21 0    -999 -999 -999 -999 -999 4.19  80.7  11.45 102.87 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 3   22 0    -999 -999 -999 -999 -999 4.46  80.97 11.55 102.92 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 3   23 0    -999 -999 -999 -999 -999 3.68  80.56 11.46 102.95 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 4   0  0    -999 -999 -999 -999 -999 5.12  81.18 11.16 102.94 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 4   1  0    -999 -999 -999 -999 -999 4.88  80    10.84 102.94 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 4   2  0    -999 -999 -999 -999 -999 4.85  79.54 10.41 102.94 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 4   3  0    -999 -999 -999 -999 -999 4.25  78.31 10.24 102.96 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 4   4  0    -999 -999 -999 -999 -999 3.67  77.94 10.13 102.97 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 4   5  0    -999 -999 -999 -999 -999 4.74  77.97 9.95  102.95 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 4   6  0    -999 -999 -999 -999 -999 4.29  76.13 10.06 102.95 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 4   7  0    -999 -999 -999 -999 -999 4.61  75.03 10.02 102.96 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 4   8  0    -999 -999 -999 -999 -999 3.85  73.26 9.96  102.99 0    0.04   -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 4   9  0    -999 -999 -999 -999 -999 4.65  71.78 9.83  103.01 0    16.05  -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 4   10 0    -999 -999 -999 -999 -999 3.91  70.42 10.01 103.04 0    56.84  -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 4   11 0    -999 -999 -999 -999 -999 4.24  70.51 10.05 103.06 0    81.86  -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 4   12 0    -999 -999 -999 -999 -999 4.23  71.39 10.11 103.02 0    136.18 -999 -999  -999 -999 -999 -999 -999  -999 -999
