  iy  id it imin     qn     qh     qe     qs     qf        U       RH     Tair     pres     rain    kdown   snow    ldown   fcld    Wuh   xsmd    lai  kdiff   kdir  wdir
2012   2 17    0 -999.0 -999.0 -999.0 -999.0 -999.0    4.726   65.693    6.540  100.428    0.000    0.000 -999.0  256.095 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  55.1
2012   2 18    0 -999.0 -999.0 -999.0 -999.0 -999.0    4.907   68.176    6.210  100.499    0.000    0.000 -999.0  256.144 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  54.3
2012   2 19    0 -999.0 -999.0 -999.0 -999.0 -999.0    5.236   69.255    5.996  100.536    0.000    0.000 -999.0  262.727 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  55.9
2012   2 20    0 -999.0 -999.0 -999.0 -999.0 -999.0    5.136   70.490    5.946  100.569    0.000    0.000 -999.0  265.462 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  54.8
2012   2 21    0 -999.0 -999.0 -999.0 -999.0 -999.0    4.943   71.934    5.998  100.571    0.000    0.000 -999.0  268.311 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  52.0
2012   2 22    0 -999.0 -999.0 -999.0 -999.0 -999.0    4.845   72.759    6.531  100.583    0.000    0.000 -999.0  275.124 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  42.3
2012   2 23    0 -999.0 -999.0 -999.0 -999.0 -999.0    4.707   73.927    6.817  100.489    0.000    0.000 -999.0  271.133 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  37.8
2012   3  0    0 -999.0 -999.0 -999.0 -999.0 -999.0    5.047   74.710    7.046  100.430    0.000    0.000 -999.0  263.777 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  34.5
2012   3  1    0 -999.0 -999.0 -999.0 -999.0 -999.0    5.877   73.191    7.882  100.297    0.001    0.000 -999.0  280.667 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  31.3
2012   3  2    0 -999.0 -999.0 -999.0 -999.0 -999.0    6.774   74.562    8.940  100.191    0.049    0.000 -999.0  307.692 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  31.4
2012   3  3    0 -999.0 -999.0 -999.0 -999.0 -999.0    7.976   78.030    9.916  100.011    0.395    0.000 -999.0  342.371 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  27.3
2012   3  4    0 -999.0 -999.0 -999.0 -999.0 -999.0    9.236   81.262   10.611   99.749    0.819    0.000 -999.0  354.883 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  23.2
2012   3  5    0 -999.0 -999.0 -999.0 -999.0 -999.0   10.306   84.046   10.911   99.475    1.025    0.000 -999.0  357.714 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  26.3
2012   3  6    0 -999.0 -999.0 -999.0 -999.0 -999.0   10.828   84.282   11.576   99.320    0.864    0.000 -999.0  362.915 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  38.3
2012   3  7    0 -999.0 -999.0 -999.0 -999.0 -999.0   10.801   82.227   12.267   99.234    0.020    0.000 -999.0  369.598 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  42.0
2012   3  8    0 -999.0 -999.0 -999.0 -999.0 -999.0   10.848   80.973   12.417   99.161    0.006    0.000 -999.0  368.300 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  41.3
2012   3  9    0 -999.0 -999.0 -999.0 -999.0 -999.0   11.192   81.059   12.565   99.065    0.003    2.558 -999.0  368.197 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  40.8
2012   3 10    0 -999.0 -999.0 -999.0 -999.0 -999.0   10.994   80.708   12.290   98.968    0.057    9.100 -999.0  371.802 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  41.0
2012   3 11    0 -999.0 -999.0 -999.0 -999.0 -999.0   10.983   81.913   12.000   98.881    0.939   12.694 -999.0  373.888 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  42.5
2012   3 12    0 -999.0 -999.0 -999.0 -999.0 -999.0   10.358   84.733   11.061   98.879    2.439   32.867 -999.0  372.041 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  60.8
2012   3 13    0 -999.0 -999.0 -999.0 -999.0 -999.0    7.983   77.246    8.805   99.075    2.050   29.000 -999.0  365.809 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  87.6
2012   3 14    0 -999.0 -999.0 -999.0 -999.0 -999.0    7.346   72.385    8.884   99.172    0.030   37.944 -999.0  336.816 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  72.5
2012   3 15    0 -999.0 -999.0 -999.0 -999.0 -999.0    8.462   68.765    9.382   99.343    0.003  114.322 -999.0  267.728 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  73.5
2012   3 16    0 -999.0 -999.0 -999.0 -999.0 -999.0    8.376   63.080    9.214   99.492    0.015   24.841 -999.0  293.454 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  83.2
2012   3 17    0 -999.0 -999.0 -999.0 -999.0 -999.0    7.752   59.587    8.637   99.663    0.000    0.000 -999.0  273.628 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  84.7
2012   3 18    0 -999.0 -999.0 -999.0 -999.0 -999.0    7.233   58.168    8.142   99.814    0.000    0.000 -999.0  257.460 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  82.0
2012   3 19    0 -999.0 -999.0 -999.0 -999.0 -999.0    6.801   58.019    7.620   99.929    0.000    0.000 -999.0  252.784 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  78.9
2012   3 20    0 -999.0 -999.0 -999.0 -999.0 -999.0    6.637   58.443    7.415  100.004    0.000    0.000 -999.0  250.654 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  75.2
2012   3 21    0 -999.0 -999.0 -999.0 -999.0 -999.0    6.636   59.286    7.254  100.033    0.000    0.000 -999.0  250.892 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  69.4
2012   3 22    0 -999.0 -999.0 -999.0 -999.0 -999.0    6.598   58.490    7.209  100.078    0.000    0.000 -999.0  250.383 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  63.6
2012   3 23    0 -999.0 -999.0 -999.0 -999.0 -999.0    7.282   60.006    7.355  100.078    0.000    0.000 -999.0  248.634 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  67.5
2012   4  0    0 -999.0 -999.0 -999.0 -999.0 -999.0    7.556   60.449    7.764  100.150    0.000    0.000 -999.0  269.005 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  79.8
2012   4  1    0 -999.0 -999.0 -999.0 -999.0 -999.0    7.523   56.311    7.741  100.262    0.000    0.000 -999.0  262.492 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  96.4
2012   4  2    0 -999.0 -999.0 -999.0 -999.0 -999.0    7.264   54.866    7.386  100.402    0.000    0.000 -999.0  273.936 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 103.3
2012   4  3    0 -999.0 -999.0 -999.0 -999.0 -999.0    7.139   57.393    6.848  100.575    0.000    0.000 -999.0  254.552 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 104.8
2012   4  4    0 -999.0 -999.0 -999.0 -999.0 -999.0    7.018   58.966    6.662  100.736    0.000    0.000 -999.0  250.940 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 103.7
