dectime dryQSresid
13.9336 NaN
13.9583 NaN
13.9752 NaN
14.0000 NaN
14.0169 NaN
14.0417 NaN
14.0585 NaN
14.0833 NaN
14.1002 NaN
14.1250 NaN
14.1418 NaN
14.1667 NaN
14.1835 NaN
14.2083 NaN
14.2251 NaN
14.2500 NaN
14.2668 NaN
14.2917 NaN
14.3085 NaN
14.3333 NaN
14.3501 NaN
14.3750 NaN
14.3918 NaN
14.4167 NaN
14.4334 NaN
14.4583 NaN
14.4751 NaN
14.5000 NaN
14.5167 NaN
14.5417 NaN
14.5584 NaN
14.5833 NaN
14.6000 NaN
14.6250 NaN
14.6417 NaN
14.6667 NaN
14.6833 NaN
14.7083 NaN
14.7250 NaN
14.7500 NaN
14.7667 NaN
14.7917 NaN
14.8083 NaN
14.8333 NaN
14.8500 NaN
14.8750 NaN
14.8916 NaN
14.9167 NaN
14.9333 NaN
14.9583 NaN
14.9749 NaN
15.0000 NaN
15.0166 NaN
15.0417 NaN
15.0582 NaN
15.0833 NaN
15.0999 NaN
15.1250 NaN
15.1415 NaN
15.1667 NaN
15.1832 NaN
15.2083 NaN
15.2249 NaN
15.2500 NaN
15.2665 NaN
15.2917 NaN
15.3082 NaN
15.3333 NaN
15.3498 NaN
15.3750 NaN
15.3915 NaN
15.4167 NaN
15.4331 NaN
15.4583 NaN
15.4748 NaN
15.5000 NaN
15.5164 NaN
15.5417 NaN
15.5581 NaN
15.5833 NaN
15.5998 NaN
15.6250 NaN
15.6414 NaN
15.6667 NaN
15.6831 NaN
15.7083 NaN
15.7247 NaN
15.7500 NaN
15.7664 NaN
15.7917 NaN
15.8080 NaN
15.8333 NaN
15.8497 NaN
15.8750 NaN
15.8913 NaN
15.9167 NaN
15.9330 NaN
15.9583 NaN
15.9746 NaN
16.0000 NaN
16.0163 NaN
16.0417 NaN
16.0580 NaN
16.0833 NaN
16.0996 NaN
16.1250 NaN
16.1413 NaN
16.1667 NaN
16.1829 NaN
16.2083 NaN
16.2246 NaN
16.2500 NaN
16.2662 NaN
16.2917 NaN
16.3079 NaN
16.3333 NaN
16.3495 NaN
16.3750 NaN
16.3912 NaN
16.4167 NaN
16.4328 NaN
16.4583 NaN
16.4745 NaN
16.5000 NaN
16.5162 NaN
16.5417 NaN
16.5578 NaN
16.5833 NaN
16.5995 NaN
16.6250 NaN
16.6411 NaN
16.6667 NaN
16.6828 NaN
16.7083 NaN
16.7244 NaN
16.7500 NaN
16.7661 NaN
16.7917 NaN
16.8077 NaN
16.8333 NaN
16.8494 NaN
16.8750 NaN
16.8911 NaN
16.9167 NaN
16.9327 NaN
16.9583 NaN
16.9744 NaN
17.0000 NaN
17.0160 NaN
17.0417 NaN
17.0577 NaN
17.0833 NaN
17.0993 NaN
17.1250 NaN
17.1410 NaN
17.1667 NaN
17.1826 NaN
17.2083 NaN
17.2243 NaN
17.2500 NaN
17.2659 NaN
17.2917 NaN
17.3076 NaN
17.3333 NaN
17.3493 NaN
17.3750 NaN
17.3909 NaN
17.4167 -11.9509
17.4326 -22.1094
17.4583 -19.9554
17.4742 -6.1057
17.5000 NaN
17.5159 NaN
17.5417 NaN
17.5575 NaN
17.5833 NaN
17.5992 NaN
17.6250 NaN
17.6408 NaN
17.6667 NaN
17.6825 NaN
17.7083 NaN
17.7242 NaN
17.7500 NaN
17.7658 NaN
17.7917 NaN
17.8075 NaN
17.8333 NaN
17.8491 NaN
17.8750 NaN
17.8908 NaN
17.9167 NaN
17.9324 NaN
17.9583 NaN
17.9741 NaN
18.0000 NaN
18.0157 NaN
18.0417 NaN
18.0574 NaN
18.0833 NaN
18.0990 NaN
18.1250 NaN
18.1407 NaN
18.1667 NaN
18.1824 NaN
18.2083 NaN
18.2240 NaN
18.2500 NaN
18.2657 NaN
18.2917 NaN
18.3073 NaN
18.3333 NaN
18.3490 NaN
18.3750 NaN
18.3906 NaN
18.4167 NaN
18.4323 NaN
18.4583 NaN
18.4739 NaN
18.5000 NaN
18.5156 NaN
18.5417 NaN
18.5572 NaN
18.5833 NaN
18.5989 NaN
18.6250 NaN
18.6406 NaN
18.6667 NaN
18.6822 NaN
18.7083 NaN
18.7239 NaN
