year;dectime;dryQSresid
2004;11.0833;-32.896
2004;11.101;-36.151
2004;11.125;-36.3264
2004;11.1427;-30.9933
2004;11.1667;-27.4094
2004;11.1843;-31.4031
2004;11.2083;-36.1649
2004;11.226;-33.4205
2004;11.25;-23.1237
2004;11.2676;-9.9306
2004;11.2917;-3.3827
2004;11.3093;-8.0376
2004;11.3333;-10.737
2004;11.351;2.5982
2004;11.375;23.6639
2004;11.3926;37.3984
2004;11.4167;45.8459
2004;11.4343;55.2945
2004;11.4583;57.5725
2004;11.4759;45.9042
2004;11.5;29.3029
2004;11.5176;14.9937
2004;11.5417;13.9981
2004;11.5592;26.3374
2004;11.5833;0.1319
2004;11.6009;-88.1489
2004;11.625;-138.3205
2004;11.6425;-69.5957
2004;11.6667;NaN
2004;11.6842;NaN
2004;11.7083;NaN
2004;11.7258;NaN
2004;11.75;NaN
2004;11.7675;NaN
2004;11.7917;NaN
2004;11.8092;NaN
2004;11.8333;NaN
2004;11.8508;NaN
2004;11.875;NaN
2004;11.8925;NaN
2004;11.9167;NaN
2004;11.9341;NaN
2004;11.9583;NaN
2004;11.9758;NaN
2004;12;NaN
2004;12.0174;NaN
2004;12.0417;NaN
2004;12.0591;-2.2394
2004;12.0833;10.5558
2004;12.1007;6.5851
2004;12.125;-5.6969
2004;12.1424;-11.5229
2004;12.1667;-15.2777
2004;12.1841;-20.2473
2004;12.2083;NaN
2004;12.2257;NaN
2004;12.25;NaN
2004;12.2674;NaN
2004;12.2917;NaN
2004;12.309;NaN
2004;12.3333;NaN
2004;12.3507;NaN
2004;12.375;NaN
2004;12.3923;NaN
2004;12.4167;NaN
2004;12.434;NaN
2004;12.4583;NaN
2004;12.4756;NaN
2004;12.5;NaN
2004;12.5173;NaN
2004;12.5417;NaN
2004;12.5589;NaN
2004;12.5833;NaN
2004;12.6006;NaN
2004;12.625;NaN
2004;12.6423;NaN
2004;12.6667;NaN
2004;12.6839;NaN
2004;12.7083;NaN
2004;12.7256;NaN
2004;12.75;NaN
2004;12.7672;NaN
2004;12.7917;NaN
2004;12.8089;NaN
2004;12.8333;NaN
2004;12.8505;NaN
2004;12.875;NaN
2004;12.8922;NaN
2004;12.9167;NaN
2004;12.9338;NaN
2004;12.9583;NaN
2004;12.9755;NaN
2004;13;NaN
2004;13.0171;NaN
2004;13.0417;NaN
2004;13.0588;NaN
2004;13.0833;NaN
2004;13.1005;NaN
2004;13.125;NaN
2004;13.1421;NaN
2004;13.1667;NaN
2004;13.1838;NaN
2004;13.2083;NaN
2004;13.2254;NaN
2004;13.25;NaN
2004;13.2671;NaN
2004;13.2917;NaN
2004;13.3087;NaN
2004;13.3333;NaN
2004;13.3504;NaN
2004;13.375;NaN
2004;13.392;NaN
2004;13.4167;NaN
2004;13.4337;NaN
2004;13.4583;NaN
2004;13.4754;NaN
2004;13.5;NaN
2004;13.517;NaN
2004;13.5417;NaN
2004;13.5587;NaN
2004;13.5833;NaN
2004;13.6003;NaN
2004;13.625;NaN
2004;13.642;NaN
2004;13.6667;NaN
2004;13.6836;NaN
2004;13.7083;NaN
2004;13.7253;NaN
2004;13.75;NaN
2004;13.7669;NaN
2004;13.7917;NaN
2004;13.8086;NaN
2004;13.8333;NaN
2004;13.8502;NaN
2004;13.875;NaN
2004;13.8919;NaN
2004;13.9167;NaN
2004;13.9336;NaN
2004;13.9583;NaN
2004;13.9752;NaN
2004;14;NaN
2004;14.0169;NaN
2004;14.0417;NaN
2004;14.0585;NaN
2004;14.0833;NaN
2004;14.1002;NaN
2004;14.125;NaN
2004;14.1418;NaN
2004;14.1667;NaN
2004;14.1835;NaN
2004;14.2083;NaN
2004;14.2251;NaN
2004;14.25;NaN
2004;14.2668;NaN
2004;14.2917;NaN
2004;14.3085;NaN
2004;14.3333;NaN
2004;14.3501;NaN
2004;14.375;NaN
2004;14.3918;NaN
2004;14.4167;NaN
2004;14.4334;NaN
2004;14.4583;NaN
2004;14.4751;NaN
2004;14.5;NaN
2004;14.5167;NaN
2004;14.5417;NaN
2004;14.5584;NaN
2004;14.5833;NaN
2004;14.6;NaN
2004;14.625;NaN
2004;14.6417;NaN
2004;14.6667;NaN
2004;14.6833;NaN
2004;14.7083;NaN
2004;14.725;NaN
2004;14.75;NaN
2004;14.7667;NaN
2004;14.7917;NaN
2004;14.8083;NaN
2004;14.8333;NaN
2004;14.85;NaN
2004;14.875;NaN
2004;14.8916;NaN
2004;14.9167;NaN
2004;14.9333;NaN
2004;14.9583;NaN
2004;14.9749;NaN
2004;15;NaN
2004;15.0166;NaN
2004;15.0417;NaN
2004;15.0582;NaN
2004;15.0833;NaN
2004;15.0999;NaN
2004;15.125;NaN
2004;15.1415;NaN
2004;15.1667;NaN
2004;15.1832;NaN
2004;15.2083;NaN
2004;15.2249;NaN
2004;15.25;NaN
2004;15.2665;NaN
2004;15.2917;NaN
2004;15.3082;NaN
2004;15.3333;NaN
2004;15.3498;NaN
2004;15.375;NaN
2004;15.3915;NaN
