year;dectime;QgHFP
2004;58.3958;2.2323
2004;58.4167;1.0478
2004;58.4375;0.0772
2004;58.4583;-0.5345
2004;58.4792;-0.7372
2004;58.5;-1.2596
2004;58.5208;-0.4351
2004;58.5417;2.4625
2004;58.5625;73.5746
2004;58.5833;15.6024
2004;58.6042;76.624
2004;58.625;15.8379
2004;58.6458;11.7992
2004;58.6667;0.7011
2004;58.6875;-7.0224
2004;58.7083;-18.7667
2004;58.7292;-10.9257
2004;58.75;-10.8405
2004;58.7708;-8.2866
2004;58.7917;-4.8081
2004;58.8125;-4.0046
2004;58.8333;-20.0154
2004;58.8542;-31.1256
2004;58.875;-17.2435
2004;58.8958;-6.8058
2004;58.9167;-3.5109
2004;58.9375;17.3514
2004;58.9583;3.1536
2004;58.9792;-21.2424
2004;59;-40.2228
2004;59.0208;-49.175
2004;59.0417;-41.4833
2004;59.0625;-37.5201
2004;59.0833;-9.8543
2004;59.1042;-11.7339
2004;59.125;-13.596
2004;59.1458;-22.6732
2004;59.1667;-33.2586
2004;59.1875;-57.285
2004;59.2083;-67.6501
2004;59.2292;-45.6094
2004;59.25;-25.3854
2004;59.2708;-5.0608
2004;59.2917;-6.8632
2004;59.3125;-4.8756
2004;59.3333;-2.8392
2004;59.3542;0.36
2004;59.375;3.1371
2004;59.3958;11.8384
2004;59.4167;12.74
2004;59.4375;10.7474
2004;59.4583;3.4096
2004;59.4792;1.549
2004;59.5;1.1293
2004;59.5208;-0.195
2004;59.5417;12.9426
2004;59.5625;48.1316
2004;59.5833;36.6426
2004;59.6042;13.2915
2004;59.625;41.6921
2004;59.6458;2.8523
2004;59.6667;2.2164
2004;59.6875;-23.2719
2004;59.7083;-53.3808
2004;59.7292;-41.4681
2004;59.75;-58.3516
2004;59.7708;-23.7358
2004;59.7917;8.3093
2004;59.8125;19.7751
2004;59.8333;-31.1804
2004;59.8542;-50.6135
2004;59.875;-46.2389
2004;59.8958;-44.5728
2004;59.9167;-24.8394
2004;59.9375;-40.5421
2004;59.9583;-36.711
2004;59.9792;-40.6022
2004;60;-44.0371
2004;60.0208;-30.8864
2004;60.0417;-26.4476
2004;60.0625;-35.5303
2004;60.0833;-55.5546
2004;60.1042;-25.2599
2004;60.125;-36.6793
2004;60.1458;-40.7439
2004;60.1667;-23.4265
2004;60.1875;-20.8622
2004;60.2083;-24.5364
2004;60.2292;-43.3081
2004;60.25;-49.1674
2004;60.2708;-38.7697
2004;60.2917;-49.1629
2004;60.3125;-67.4083
2004;60.3333;-44.3804
2004;60.3542;-34.5928
2004;60.375;58.1753
2004;60.3958;85.8131
2004;60.4167;94.0619
2004;60.4375;110.913
2004;60.4583;72.8389
2004;60.4792;105.294
2004;60.5;143.054
2004;60.5208;148.423
2004;60.5417;129.339
2004;60.5625;90.7253
2004;60.5833;82.1567
2004;60.6042;58.3317
