1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24		
Code	AlbedoMin	AlbedoMax	Emissivity	StorageMin	StorageMax	WetThreshold	StateLimit	DrainageEq	DrainageCoef1	DrainageCoef2	SoilTypeCode	SnowLimPatch	SnowLimRemove	OHMThresh_SW	OHMThresh_WD	ESTMCode	AnOHM_Cp	AnOHM_Kk	AnOHM_Ch	OHMCode_SummerWet	OHMCode_SummerDry	OHMCode_WinterWet	OHMCode_WinterDry		
20247902.0	0.1886556991275392	0.1886556991275392	0.9100000000000001	0.25	0.25	0.25	-999.0	3.0	10.0	3.0	22240040.0	190.0	90.0	10.0	0.9	-999.0	-999.0	-999.0	-999.0	50240024.0	50240024.0	50240024.0	50240024.0	!	Buildings, aggregated from X(fraction) Y(fracion) Z(fraction). Used in Grid No. 5
20248002.0	0.09	0.09	0.9298560967957035	0.48	0.48	0.48	-999.0	3.0	10.0	3.0	22240040.0	190.0	90.0	10.0	0.9	-999.0	-999.0	-999.0	-999.0	50240001.0	50240001.0	50240001.0	50240001.0	!	Paved, aggregated from X(fraction) Y(fracion) Z(fraction). Used in Grid No. 4
20248215.0	0.09000000000000001	0.09000000000000001	0.9227883476725304	0.48	0.48	0.48	-999.0	3.0	10.0	3.0	22240040.0	190.0	90.00000000000001	10.0	0.9	-999.0	-999.0	-999.0	-999.0	50240001.0	50240001.0	50240001.0	50240001.0	!	Paved, aggregated from X(fraction) Y(fracion) Z(fraction). Used in Grid No. 11
20248264.0	0.09	0.09	0.9263271744090765	0.4799999999999999	0.4799999999999999	0.4799999999999999	-999.0	3.0	10.0	3.0	22240040.0	190.0	89.99999999999999	10.0	0.9	-999.0	-999.0	-999.0	-999.0	50240001.0	50240001.0	50240001.0	50240001.0	!	Paved, aggregated from X(fraction) Y(fracion) Z(fraction). Used in Grid No. 2
20248827.0	0.09	0.09	0.9379820298608934	0.48	0.48	0.48	-999.0	3.0	10.0	3.0	22240040.0	190.0	90.0	10.0	0.9	-999.0	-999.0	-999.0	-999.0	50240001.0	50240001.0	50240001.0	50240001.0	!	Paved, aggregated from X(fraction) Y(fracion) Z(fraction). Used in Grid No. 1
20249062.0	0.20702501026560788	0.20702501026560788	0.9099999999999999	0.25	0.25	0.25	-999.0	3.0	10.0	3.0	22240040.0	190.0	89.99999999999999	10.0	0.9	-999.0	-999.0	-999.0	-999.0	50240024.0	50240024.0	50240024.0	50240024.0	!	Buildings, aggregated from X(fraction) Y(fracion) Z(fraction). Used in Grid No. 2
20249377.0	0.209812011682757	0.209812011682757	0.91	0.25	0.25	0.25	-999.0	3.0	10.0	3.0	22240040.0	190.0	90.00000000000001	10.0	0.9	-999.0	-999.0	-999.0	-999.0	50240024.0	50240024.0	50240024.0	50240024.0	!	Buildings, aggregated from X(fraction) Y(fracion) Z(fraction). Used in Grid No. 11
20249544.0	0.15091860008855978	0.15091860008855978	0.9100000000000001	0.25	0.25	0.25	-999.0	3.0	10.0	3.0	22240040.0	190.0	90.0	10.0	0.9	-999.0	-999.0	-999.0	-999.0	50240024.0	50240024.0	50240024.0	50240024.0	!	Buildings, aggregated from X(fraction) Y(fracion) Z(fraction). Used in Grid No. 4
20249698.0	0.17950895548334878	0.17950895548334878	0.9100000000000001	0.25	0.25	0.25	-999.0	3.0	10.0	3.0	22240040.0	190.0	90.0	10.0	0.9	-999.0	-999.0	-999.0	-999.0	50240024.0	50240024.0	50240024.0	50240024.0	!	Buildings, aggregated from X(fraction) Y(fracion) Z(fraction). Used in Grid No. 1
-9.0																									
-9.0																									
